Ligand Name,Exp_syn,Exp_anti,ΔΔG_Exp,ΔG_int,E(RwB97XD)_int,ΔH(RwB97XD)_int,SP_E(RwB97XD)_int,BL(C28-Pd),BL(C12-Pd),BA (C28-Pd-C12),BA(N-C-N),%Vbur(3.5Å),%Vbur(4.0Å),%Vbur(3.0Å),NPA (C28),NPA (C12),NPA (Pd),NPA (Cipso),NPA (O),MC(C28),MC(C12),MC(Pd),SP_MC(C28),SP_MC(C12),SP_MC(Pd),MM_int,P(α)_int,DM_int,DM(SP)_int,HC(Cv)_int,E(S)_int,Occ.(dxy)_Pd ,Occ.(dxz)_Pd ,Occ.(dyz)_Pd,Occ.(dx2y2)_Pd,Occ.dz2)_Pd,E_dxy_Pd,E_dxz_Pd,E_dyz_Pd,E_dx2y2_Pd,E_dz2_Pd,E_Pd(LP)-C28(LP*),E_Pd(LP)-C12(LP*),E_C28(LP)-Pd(LP*),E_C12(LP)-Pd(LP*),Occ._Pd(LP),E_Pd(LP)
5-IMes,1,2,-0.484674155093194,-1804.2453,-1804.7901,0.544791,-1806.2855,2.05604,1.98859,175.22297,103.32507,37.6,38.9,35.2,0.199,0.295,-0.355,-0.192,-0.826,0.355,0.231,-0.544,-1.994,-0.573,0.906,588.17882,395.06133,3.5699853,3.2653009,148.171,246.001,1.93003,1.98134,1.75242,1.81123,1.93203,-0.25512,-0.25111,-0.23408,-0.2428,-0.25121,31.60,61.84,221.94,251.94,1.73952,-0.23268
5-IMes(Me),1,1.8,-0.411002184206163,-1882.8182,-1883.4157,0.597507,-1884.9254,2.05896,1.98482,175.14773,103.18288,37.4,38.8,35.1,0.200,0.293,-0.358,-0.190,-0.828,0.341,0.231,-0.549,-1.581,-0.590,1.124,616.21012,420.03433,4.3165732,4.1978382,159.891,261.117,1.91588,1.97394,1.75575,1.82457,1.93205,-0.25101,-0.24786,-0.23158,-0.24162,-0.2487,30.16,63.78,219.11,247.82,1.73538,-0.22952
5-IPr,1.8,1,0.411002184206163,-2039.8947,-2040.6098,0.715108,-2042.1522,2.06852,1.98918,170.23798,103.09034,45.5,47.4,42.7,0.191,0.280,-0.372,-0.192,-0.824,0.341,0.217,-0.514,-2.192,-1.308,1.677,672.27272,451.91833,3.2484918,3.0307341,176.039,271.912,1.89023,1.95457,1.77451,1.86414,1.93326,-0.25437,-0.25299,-0.23952,-0.25146,-0.25613,29.49,62.57,198.12,226.10,1.73784,-0.23608
"5-IPr*(Me, Ph)",4,1,0.969348310186389,-2884.9649,-2885.9336,0.968654,-2887.6474,2.07858,1.97721,165.88900,103.31600,49.4,52.5,45.7,0.184,0.268,-0.389,-0.186,-0.822,0.324,0.203,-0.507,-0.368,-1.914,0.857,948.36662,656.78867,2.5046786,2.3727179,239.644,342.969,1.89749,1.90123,1.84242,1.96798,1.80232,-0.25587,-0.26154,-0.25844,-0.26562,-0.25147,24.49,66.27,171.17,206.26,1.73388,-0.24368
5-IPr**,6.14,1,1.26899260823307,-4908.3608,-4910.3959,2.035083,-4912.5098,2.07065,1.98778,167.42073,103.44216,54.2,57.2,50.0,0.169,0.261,-0.410,-0.189,-0.819,0.307,0.183,-0.468,-1.302,-1.834,1.300,1644.93,1212.6693,2.666659,2.698586,464.574,589.843,1.80635,1.97482,1.90880,1.79984,1.92512,-0.25300,-0.26097,-0.25692,-0.25009,-0.25588,22.39,62.91,155.83,192.42,1.74199,-0.24136
5-IPr*,6.5,1,1.30883333877014,-3651.4681,-3652.632,1.163937,-3654.5018,2.07089,1.98778,165.42164,103.20629,54.2,57.2,49.9,0.160,0.259,-0.408,-0.194,-0.823,0.309,0.181,-0.461,-1.242,-1.685,1.631,1196.4292,845.80867,2.3122438,2.1637489,292.832,409.518,1.89198,1.88203,1.88682,1.97566,1.77788,-0.25490,-0.26207,-0.26152,-0.26535,-0.24701,23.72,62.93,160.72,195.84,1.73997,-0.24433
5-SIMes,1,1.9,-0.448807985805527,-1805.4289,-1805.9985,0.569576,-1807.4938,2.05731,1.99780,174.72873,107.02035,38.4,39.6,36.1,0.285,0.299,-0.352,-0.194,-0.822,0.406,0.234,-0.538,-2.261,-0.647,1.093,590.19447,397.16233,3.6805523,3.5075109,147.99,243.324,1.92994,1.98107,1.75933,1.81302,1.93192,-0.25441,-0.25051,-0.23458,-0.24228,-0.25078,31.91,58.51,225.06,242.92,1.74547,-0.23307
5-SIPr,2.6,1,0.66812895628665,-2041.0793,-2041.8184,0.739147,-2043.3607,2.06240,1.99323,168.67786,106.56080,46.7,48.5,44.0,0.278,0.277,-0.365,-0.191,-0.819,0.399,0.204,-0.515,-2.694,-1.627,2.072,674.28837,453.04267,3.1828222,3.0990543,177.622,272.95,1.90278,1.96769,1.76916,1.84611,1.93175,-0.25676,-0.25536,-0.24060,-0.25102,-0.25734,28.48,60.30,197.82,219.37,1.74288,-0.23792
5-IXyOMe(Me),1,2,-0.484674155093194,-2033.1753,-2033.7816,0.606229,-2035.3382,2.06151,1.98327,172.68660,103.26705,37.8,39.1,35.3,0.199,0.290,-0.354,-0.190,-0.828,0.339,0.226,-0.541,-1.865,-0.737,1.358,648.19995,428.07267,3.8906249,3.7839383,165.937,268.772,1.91878,1.97604,1.75547,1.81839,1.93155,-0.25102,-0.24790,-0.23160,-0.24083,-0.24860,28.88,64.84,217.95,247.51,1.73310,-0.22917
5-IXy(Me),1,1.95,-0.466971006991684,-1804.2574,-1804.8007,0.543351,-1806.2958,2.05297,1.98858,175.45364,103.11358,37.4,38.8,35.0,0.203,0.295,-0.361,-0.191,-0.826,0.343,0.232,-0.553,-1.006,-0.689,1.061,588.17882,393.47,4.4101289,4.286984,148.237,248.933,1.78539,1.85320,1.87897,1.95297,1.93162,-0.23873,-0.23933,-0.24277,-0.25607,-0.24977,31.18,62.51,221.34,247.19,1.73780,-0.23098
