Ligand Name,Exp_syn,Exp_anti,ΔΔG_Exp,ΔG_int,E(RwB97XD)_int,ΔH(RwB97XD)_int,SP_E(RwB97XD)_int,BL(C28-Pd),BL(C12-Pd),BA (C28-Pd-C12),BA(N-C-N),%Vbur(3.5Å),%Vbur(4.0Å),%Vbur(3.0Å),NPA (C28),NPA (C12),NPA (Pd),NPA (Cipso),NPA (O),MC(C28),MC(C12),MC(Pd),SP_MC(C28),SP_MC(C12),SP_MC(Pd),MM_int,P(α)_int,DM_int,DM(SP)_int,HC(Cv)_int,E(S)_int,Occ.(dxy)_Pd ,Occ.(dxz)_Pd ,Occ.(dyz)_Pd,Occ.(dx2y2)_Pd,Occ.dz2)_Pd,E_dxy_Pd,E_dxz_Pd,E_dyz_Pd,E_dx2y2_Pd,E_dz2_Pd,E_Pd(LP)-C28(LP*),E_Pd(LP)-C12(LP*),E_C28(LP)-Pd(LP*),E_C12(LP)-Pd(LP*),Occ._Pd(LP),E_Pd(LP),HOMO_L,LUMO_L,LU-HO_L,μ_L,η_L,BA(N-C-N)_L,NPA(C28)_L,diff_NPA(C28),SP_HOMO_L,SP_LUMO_L,SP_LU-HO_L,SP_μ_L,SP_η_L,Tolman_CA_int,B1_Sp2,B5_Sp2,L_Sp2
5-IMes,1,2,-0.484674155093194,-1804.2453,-1804.7901,0.544791,-1806.2855,2.05604,1.98859,175.22297,103.32507,37.6,38.9,35.2,0.199,0.295,-0.355,-0.192,-0.826,0.355,0.231,-0.544,-1.994,-0.573,0.906,588.17882,395.06133,3.5699853,3.2653009,148.171,246.001,1.93003,1.98134,1.75242,1.81123,1.93203,-0.25512,-0.25111,-0.23408,-0.2428,-0.25121,31.60,61.84,221.94,251.94,1.73952,-0.23268,-0.28274,0.06818,0.35092,-0.10728,0.17546,101.13932,0.134,-0.065,-0.30016,0.05309,0.35325,-0.123535,0.176625,195.44,2.02,4.48,7.46
5-IMes(Me),1,1.8,-0.411002184206163,-1882.8182,-1883.4157,0.597507,-1884.9254,2.05896,1.98482,175.14773,103.18288,37.4,38.8,35.1,0.200,0.293,-0.358,-0.190,-0.828,0.341,0.231,-0.549,-1.581,-0.590,1.124,616.21012,420.03433,4.3165732,4.1978382,159.891,261.117,1.91588,1.97394,1.75575,1.82457,1.93205,-0.25101,-0.24786,-0.23158,-0.24162,-0.2487,30.16,63.78,219.11,247.82,1.73538,-0.22952,-0.27595,0.06845,0.3444,-0.10375,0.1722,100.94927,0.126,-0.074,-0.29041,0.05333,0.34374,-0.11854,0.17187,195.44,2.05,4.47,7.46
5-IPr,1.8,1,0.411002184206163,-2039.8947,-2040.6098,0.715108,-2042.1522,2.06852,1.98918,170.23798,103.09034,45.5,47.4,42.7,0.191,0.280,-0.372,-0.192,-0.824,0.341,0.217,-0.514,-2.192,-1.308,1.677,672.27272,451.91833,3.2484918,3.0307341,176.039,271.912,1.89023,1.95457,1.77451,1.86414,1.93326,-0.25437,-0.25299,-0.23952,-0.25146,-0.25613,29.49,62.57,198.12,226.10,1.73784,-0.23608,-0.28919,0.06595,0.35514,-0.11162,0.17757,101.32340,0.136,-0.055,-0.30363,0.05130,0.35493,-0.126165,0.177465,208.69,2.83,5.71,6.41
"5-IPr*(Me, Ph)",4,1,0.969348310186389,-2884.9649,-2885.9336,0.968654,-2887.6474,2.07858,1.97721,165.88900,103.31600,49.4,52.5,45.7,0.184,0.268,-0.389,-0.186,-0.822,0.324,0.203,-0.507,-0.368,-1.914,0.857,948.36662,656.78867,2.5046786,2.3727179,239.644,342.969,1.89749,1.90123,1.84242,1.96798,1.80232,-0.25587,-0.26154,-0.25844,-0.26562,-0.25147,24.49,66.27,171.17,206.26,1.73388,-0.24368,-0.29013,0.05976,0.34989,-0.115185,0.174945,101.65706,0.121,-0.063,-0.30069,0.04423,0.34492,-0.12823,0.17246,246.68,4.00,8.05,7.46
5-IPr**,6.14,1,1.26899260823307,-4908.3608,-4910.3959,2.035083,-4912.5098,2.07065,1.98778,167.42073,103.44216,54.2,57.2,50.0,0.169,0.261,-0.410,-0.189,-0.819,0.307,0.183,-0.468,-1.302,-1.834,1.300,1644.93,1212.6693,2.666659,2.698586,464.574,589.843,1.80635,1.97482,1.90880,1.79984,1.92512,-0.25300,-0.26097,-0.25692,-0.25009,-0.25588,22.39,62.91,155.83,192.42,1.74199,-0.24136,-0.28353,0.05505,0.33858,-0.11424,0.16929,101.60521,0.117,-0.052,-0.29232,0.03967,0.33199,-0.126325,0.165995,262.56,6.79,10.80,7.47
5-IPr*,6.5,1,1.30883333877014,-3651.4681,-3652.632,1.163937,-3654.5018,2.07089,1.98778,165.42164,103.20629,54.2,57.2,49.9,0.160,0.259,-0.408,-0.194,-0.823,0.309,0.181,-0.461,-1.242,-1.685,1.631,1196.4292,845.80867,2.3122438,2.1637489,292.832,409.518,1.89198,1.88203,1.88682,1.97566,1.77788,-0.25490,-0.26207,-0.26152,-0.26535,-0.24701,23.72,62.93,160.72,195.84,1.73997,-0.24433,-0.28900,0.05277,0.34177,-0.118115,0.170885,101.48586,0.108,-0.052,-0.29907,0.03739,0.33646,-0.13084,0.16823,262.78,5.32,8.18,7.46
5-IPent,4,1,0.969348310186389,-2354.1126,-2355.0496,0.93696,-2356.6538,2.07486,1.98351,166.60027,102.89045,51.1,53.8,47.0,0.178,0.264,-0.390,-0.186,-0.831,0.340,0.205,-0.524,-1.790,-1.552,2.141,784.39792,532.92567,3.0539571,2.9529481,214.149,314.486,1.89372,1.95372,1.76281,1.86201,1.93224,-0.25317,-0.25121,-0.23657,-0.24991,-0.25489,28.42,68.42,179.95,206.17,1.72162,-0.23286,-0.28843,0.06578,0.35421,-0.111325,0.177105,101.06662,0.134,-0.044,-0.30297,0.04913,0.3521,-0.12692,0.17605,229.49,4.32,6.48,6.41
5-Np#,1.4,1,0.235273837318307,-4882.1648,-4883.7215,1.556706,-4885.8399,2.05552,1.98500,162.73663,103.12006,49.6,54.1,44.0,0.173,0.245,-0.375,-0.189,-0.827,0.323,0.201,-0.473,-1.024,-2.179,1.801,1600.5857,1166.2653,2.8738416,2.7360981,388.664,523.773,1.97083,1.91804,1.75541,1.98760,1.76231,-0.25856,-0.26148,-0.24280,-0.26055,-0.25152,22.91,68.51,164.03,200.73,1.72031,-0.23891,-0.27440,0.02175,0.29615,-0.126325,0.148075,101.06944,0.124,-0.049,-0.28387,0.00880,0.29267,-0.137535,0.146335,261.73,4.92,10.24,10.22
5-IEt,1,1.33,-0.199407668030639,-1961.3491,-1962.0085,0.659387,-1963.5345,2.06528,1.98437,174.90785,103.31904,42.8,44.1,40.4,0.196,0.288,-0.370,-0.189,-0.824,0.342,0.227,-0.515,-1.707,-0.844,1.206,644.24142,436.57633,3.390795,3.1355265,166.087,263.127,1.92685,1.97938,1.75232,1.82265,1.93287,-0.25497,-0.25157,-0.23429,-0.24372,-0.25233,30.68,63.01,204.90,235.47,1.73696,-0.23269,-0.28604,0.06874,0.35478,-0.10865,0.17739,101.37055,0.133,-0.063,-0.30067,0.04922,0.34989,-0.125725,0.174945,194.07,2.27,5.30,7.46
6-SIPr,3.8,1,0.933482140898721,-2080.3582,-2081.1251,0.766884,-2082.6745,2.12257,1.98664,171.00971,115.57959,53,54.4,50.2,0.262,0.272,-0.358,-0.182,-0.824,0.372,0.183,-0.506,-1.462,-1.409,1.516,688.30402,461.535,3.9689284,3.9831109,182.386,276.978,1.88258,1.95427,1.78365,1.85931,1.93409,-0.25057,-0.25080,-0.23792,-0.24795,-0.25398,19.16,65.66,170.88,210.19,1.73804,-0.23331,-0.26575,0.07395,0.3397,-0.0959,0.16985,114.76519,0.213,-0.049,-0.27825,0.04776,0.32601,-0.115245,0.163005,230.67,3.07,5.71,6.42
